,id,text,created_at,lang,city_district
0,1476126552815386625,Read our 8-part guide to flat white in Charlottenburg featuring Oxymoron #Berlin,2021-12-29T09:42:49.000Z,en,Charlottenburg
1,1475954230233997313,@a_nnaschneider The only way is Charlottenburg,2021-12-28T22:18:05.000Z,en,Charlottenburg
2,1475889840914894852,@MX5XM same when i first time saw those pics 😍 take care from charlottenburg just make me pasta 🍝 ready ! hope you have some good food 🥘 too,2021-12-28T18:02:13.000Z,en,Charlottenburg
3,1475850875952320515,"Great piece in New Statesman by Jeremy Cliffe tracing historic Prussia by taking the RE1 train across Berlin. I was there on a British Army Press trip before the Wall fell, staying in Charlottenburg, then a 'colourful' area. Saw Hess exercising from our flat in barracks opposite.",2021-12-28T15:27:23.000Z,en,Charlottenburg
4,1475810613607936001,"I love the people living in Griegstraße, they cook well. #Berlin #Charlottenburg #Wilmersdorf",2021-12-28T12:47:24.000Z,en,Charlottenburg
5,1475658260170502146,"I love the people living in Gneiststraße, they make the nicest soy sauce packets. #Berlin #Charlottenburg #Wilmersdorf",2021-12-28T02:42:00.000Z,en,Charlottenburg
6,1475552404384874498,"I love the people living in Motzstraße, they are flabbergasting. #Berlin #Charlottenburg #Wilmersdorf",2021-12-27T19:41:22.000Z,en,Charlottenburg
7,1475515033773879296,"@Falo12147944 Exactly
It has been a garrison town if I am not mistaken
It was the earliest being mentioned and then to Charlottenburg because of the castle which is a summer palace modelled at Versailles but it has a big marble bathroom inside with almost a swimming pool",2021-12-27T17:12:52.000Z,en,Charlottenburg
8,1475513202318487558,"@amandawheatley8 Schloss Charlottenburg
The Egyptian museum is right across from there
What a beautiful place to have been growing up at",2021-12-27T17:05:35.000Z,en,Charlottenburg
9,1475511522868748290,"@Falo12147944 Yap
The second oldest district of Berlin
Charlottenburg formerly Old Lietzow
Spandau has been the first district
After that Berlin formed",2021-12-27T16:58:55.000Z,en,Charlottenburg
10,1475401524213784577,"I love the people living in Klaustaler Straße, they look at the future with hope. #Berlin #Charlottenburg #Wilmersdorf",2021-12-27T09:41:49.000Z,en,Charlottenburg
11,1475371389175537666,"I love the people living in Kantstraße, they have very nice ears. #Berlin #Charlottenburg #Wilmersdorf",2021-12-27T07:42:04.000Z,en,Charlottenburg
12,1475356562025639938,Cayetano is a book and street art around Charlottenburg Palace #Berlin,2021-12-27T06:43:09.000Z,en,Charlottenburg
13,1475250239233687552,"I love the people living in Bismarckstraße, they can blink both eyes at the same time. #Berlin #Charlottenburg #Wilmersdorf",2021-12-26T23:40:40.000Z,en,Charlottenburg
14,1475190033791422468,"I love the people living in Gerolsteiner Straße, they are remarkable. #Berlin #Charlottenburg #Wilmersdorf",2021-12-26T19:41:26.000Z,en,Charlottenburg
15,1475165909719425029,@GeoffreyArmes nice &lt;3 i live next to the Lietzensee charlottenburg,2021-12-26T18:05:34.000Z,en,Charlottenburg
16,1474102923986563076,"I love the people living in Goethestraße, they are staggering. #Berlin #Charlottenburg #Wilmersdorf",2021-12-23T19:41:39.000Z,en,Charlottenburg
17,1474058662503075855,"I love the people living in Rüsternallee, they master sign language. #Berlin #Charlottenburg #Wilmersdorf",2021-12-23T16:45:46.000Z,en,Charlottenburg
18,1474047982182047749,@IjomaMangold War vorhin da und sah the rich kids of Charlottenburg. They really exist.,2021-12-23T16:03:20.000Z,en,Charlottenburg
19,1474027773853270022,"I love the people living in Hildegardstraße, they smile a lot. #Berlin #Charlottenburg #Wilmersdorf",2021-12-23T14:43:02.000Z,en,Charlottenburg
20,1474001720720117763,@LionOfJudahdnb yes indeed hopefully 🙏 2022 will be better but we starting with a light lockdown.. take care one question 🙋‍♂️ u have already snow lying arround.. +1c i charlottenburg down town 💪,2021-12-23T12:59:30.000Z,en,Charlottenburg
21,1474001035320754178,"@hideout Wish you best of luck with your government!🤞

Merry Christmas #charlottenburg! Let's hope for a better 2022.",2021-12-23T12:56:47.000Z,en,Charlottenburg
22,1473734733855133700,@killingwilds yesss 5days at my friends in Charlottenburg😄😄 i love berlin,2021-12-22T19:18:35.000Z,en,Charlottenburg
23,1476132376468201480,"RT @CiaranDold: I love the stuff on the Berliner Fenster, the little TV on the Ubahn because it gives you such whiplash. Today's Celine Dio…",2021-12-29T10:05:58.000Z,en,Friedrichshain
24,1476126205900324864,"I love the people living in Hausburgstraße, they cook well. #Berlin #Kreuzberg #Friedrichshain",2021-12-29T09:41:27.000Z,en,Friedrichshain
25,1476111064802545665,"I love the people living in Askanischer Platz, they are great parking lots connoisseurs. #Berlin #Kreuzberg #Friedrichshain",2021-12-29T08:41:17.000Z,en,Friedrichshain
26,1476005555869143040,"I love the people living in Hallesches Ufer, they are flabbergasting. #Berlin #Kreuzberg #Friedrichshain",2021-12-29T01:42:02.000Z,en,Friedrichshain
27,1475995456844943361,"RT @CiaranDold: I love the stuff on the Berliner Fenster, the little TV on the Ubahn because it gives you such whiplash. Today's Celine Dio…",2021-12-29T01:01:54.000Z,en,Friedrichshain
28,1475994653954658306,"RT @CiaranDold: I love the stuff on the Berliner Fenster, the little TV on the Ubahn because it gives you such whiplash. Today's Celine Dio…",2021-12-29T00:58:42.000Z,en,Friedrichshain
29,1475990596372209664,"I love the people living in Bergfriedstraße, they are so peacefull. #Berlin #Kreuzberg #Friedrichshain",2021-12-29T00:42:35.000Z,en,Friedrichshain
30,1475975413277278213,"I love the people living in Bänschstraße, they are known to breathe perfectly. #Berlin #Kreuzberg #Friedrichshain",2021-12-28T23:42:15.000Z,en,Friedrichshain
31,1475907025385234435,"RT @CiaranDold: I love the stuff on the Berliner Fenster, the little TV on the Ubahn because it gives you such whiplash. Today's Celine Dio…",2021-12-28T19:10:30.000Z,en,Friedrichshain
32,1475905748320272386,@CiaranDold whats happening in friedrichshain,2021-12-28T19:05:26.000Z,en,Friedrichshain
33,1475904590822494219,"I love the stuff on the Berliner Fenster, the little TV on the Ubahn because it gives you such whiplash. Today's Celine Dion's birthday, every one in Friedrichshain is dead and now here's a quote from someone we assume you know called Bernhardt Gürnt",2021-12-28T19:00:50.000Z,en,Friedrichshain
34,1475900236694310918,"I love the people living in Am Comeniusplatz, they are awesome. #Berlin #Kreuzberg #Friedrichshain",2021-12-28T18:43:31.000Z,en,Friedrichshain
35,1475796745053302785,"I love the people living in Strausberger Platz, they collect white dogs like nobody else. #Berlin #Kreuzberg #Friedrichshain",2021-12-28T11:52:17.000Z,en,Friedrichshain
