,Datetime,Tweet Id,Text,Username,Language,District,Sub District,Up Votes
0,2021-12-30 05:51:53+00:00,1476430824547528704,"@amr3ssam Berlin Wall Memorial
East Side Gallery
Neues Museum: Egyptian Museum and Papyrus Collection
Pergamonmuseum
Charlottenburg Palace
Viktoriapark
Dom
Brandensburg Tor
Zaddy’s for donor, Risa for chicken &amp; Maredo for steak",battahbaladi,en,Charlottenburg-Wilmersdorf,charlottenburg,0
1,2021-12-27 06:43:09+00:00,1475356562025639938,Cayetano is a book and street art around Charlottenburg Palace #Berlin,VisitBerlinNow,en,Charlottenburg-Wilmersdorf,charlottenburg,0
2,2021-12-22 14:09:41+00:00,1473656996742246404,"Berlin, Charlottenburg castle, a Baroque palace. The palace was built at the end of the 17th century and was greatly expanded during the 18th century. 

#MBDTravel #MBDGermany https://t.co/LjuiG6jV4Y",mybeaudest,en,Charlottenburg-Wilmersdorf,charlottenburg,11
3,2021-12-20 09:51:35+00:00,1472867266215784448,"An excellent way to have your three year old who hates the cold, get exercise outdoors in Berlin. Take him to Schloss Charlottenburg and tell him he needs to find the one door that opens and will let him in to be warm. I’ve never seen him run so far, so fast. https://t.co/3js3dQvOsD",PhillipsPOBrien,en,Charlottenburg-Wilmersdorf,charlottenburg,36
4,2021-12-18 16:14:40+00:00,1472238895047794695,"In 1989, two out of three sculptures of motorcycle racers that had survived since Max Esser made them in 1938/39 were installed at the corner of Messedamm and Halenseestr. (Berlin-Charlottenburg), not far from the former northern curve of the AVUS, originally a testing track. https://t.co/FnsrbZfs3a",kriegsspuren,en,Charlottenburg-Wilmersdorf,charlottenburg,10
5,2021-12-18 00:18:19+00:00,1471998223074181122,"Adolf Hitler and Joseph Goebbels (in box) at Charlottenburg Theatre, Berlin, 1939. https://t.co/QUuqfsnLbN",StameniMis,en,Charlottenburg-Wilmersdorf,charlottenburg,0
6,2021-12-17 15:58:58+00:00,1471872556709908487,happy friday and soon a nice weekend greetings 🖖 from berlin charlottenburg 🥰 https://t.co/uMTUsKXnCR,hideout,en,Charlottenburg-Wilmersdorf,charlottenburg,5
7,2021-12-16 18:37:31+00:00,1471550071938457607,"@Berlin_Type The first cinema I went to when I moved to Berlin. It was a sunny afternoon, so to save money, I walked from Charlottenburg to Alex. I think it was to see Tarkovskii's Zerkalo - but mostly I remember the walk there, and my excitement at being in the city.",janeblott,en,Charlottenburg-Wilmersdorf,charlottenburg,1
8,2021-12-13 18:52:58+00:00,1470466796134227974,"""Freight Shed Charlottenburg""
Historic building from Berlin. Starting almost a year ago, I continued to work on it a little. It is also not yet clear whether it will be the next asset. Textures and color intensities in parts still have to be revised significantly. https://t.co/Qzg0zxvUJx",YhUrbanProject,en,Charlottenburg-Wilmersdorf,charlottenburg,22
9,2021-12-13 15:55:15+00:00,1470422069544378370,"@osselbosss That’s the housing market in Berlin hahahah but check cheaper neighborhoods like wedding, prenzlauerberg, charlottenburg, and some areas in kreuzberg",JustYoussefH,en,Charlottenburg-Wilmersdorf,charlottenburg,1
