,Datetime,Tweet Id,Text,Username,Language,District,Sub District,Up Votes
0,2021-12-27 15:51:25+00:00,1475494538185789446,"Our app is the path you need to connect you to the world. It helps you to discover new places, neighbourhoods, and cities. Searching inside of it is like opening a door for new experiences. Discover Friedrichshain. Discover Berlin. Discover Xayn. 🤗 🏠 🔮 #GoXayn https://t.co/b9z1h8fAbj",XaynHQ,en,Friedrichshein-Kreuzbert,friedrichshain,2
1,2021-12-25 09:41:09+00:00,1474676578651021313,"I love the people living in Schwiebusser Straße, they are sound and calm. #Berlin #Kreuzberg #Friedrichshain",CarinoBRLN,en,Friedrichshein-Kreuzbert,friedrichshain,0
2,2021-12-24 09:50:40+00:00,1474316585917628416,"#Berlin has a ton of coffee shops that use the black board and white chalk mode to showcase their menus. 

Absolutely love them. 

This one is from Blaue bohne rosterei in #Friedrichshain , they serve some great #coffee and have incredible roasted coffee beans. 

#CoffeeLover https://t.co/bED9aJyHvx",nischalhp,en,Friedrichshein-Kreuzbert,friedrichshain,1
3,2021-12-23 17:44:45+00:00,1474073506593787904,The East-Side Gallery is a 1.3km-long stretch of the Berlin Wall on the East-Berlin side of the river Spree between Ostbahnhof station and the Oberbaum Bridge in Berlin-Friedrichshain that was painted by artists in early 1990 (redone in 2009). Today it saw snow. #MerryXmas https://t.co/HlwXIzO8oN,kriegsspuren,en,Friedrichshein-Kreuzbert,friedrichshain,2
4,2021-12-17 11:41:10+00:00,1471807680587055104,"I love the people living in Kochstraße, they are sound and calm. #Berlin #Kreuzberg #Friedrichshain",CarinoBRLN,en,Friedrichshein-Kreuzbert,friedrichshain,1
5,2021-12-16 10:58:34+00:00,1471434571292069888,"Some of my ""Asymétrie"" photos are currently on view in the exhibition ""Portraits without Borders"" at Fotogalerie Friedrichshain (Berlin) :) 
Portraits without Borders:  December 10,2021 - February 4, 2022
What a great way to end 2021 and start 2022! #art #artist #visualart https://t.co/ToXFIkgPOB",Paulinelpchn,en,Friedrichshein-Kreuzbert,friedrichshain,1
6,2021-12-15 13:40:54+00:00,1471113038094688256,"I love the people living in Katzbachstraße, they are sound and calm. #Berlin #Kreuzberg #Friedrichshain",CarinoBRLN,en,Friedrichshein-Kreuzbert,friedrichshain,0
7,2021-12-11 19:18:50+00:00,1469748528272584705,"And then Germany 2019, the area where I stayed. BERLIN. Great!

Only great venues around there on FriedrichsHain-Kreuzberg.

Nikki Sixx was on the streets over there. https://t.co/cali0OJieH",Oriental__Beat,en,Friedrichshein-Kreuzbert,friedrichshain,0
8,2021-12-08 10:38:12+00:00,1468530341401014275,"I have been rather ""rough and ready"" recently...
So, of course doing my ""good boy best"",
on Friday morning, I will put on a ""Soder Mask""
(with two dots on the O, he is Prime Minister of
Bavaria), and go to a community health clinic in
Friedrichshain/Berlin - and drop my jeans!",NickOZuchthaus,en,Friedrichshein-Kreuzbert,friedrichshain,0
9,2021-12-02 18:18:36+00:00,1466471878353170432,"Roadsign representing the official partnership between the city of Dêrik and #Berlin Friedrichshain-Kreuzberg.

A great initiative of practical #solidarity that reminds me of similar works I witnessed in Germany.

Always puts a smile on my face while passing it.🤗

#Rojava https://t.co/UJKHNnyN0v",RamanBilal,en,Friedrichshein-Kreuzbert,friedrichshain,9
10,2021-11-30 01:38:46+00:00,1465495485960097798,"@aherman2006 Stay in Friedrichshain Berlin, wear black, and wander from there. You’ll end up where you’re supposed to go..",tonymorales84,en,Friedrichshein-Kreuzbert,friedrichshain,0
11,2021-11-27 12:15:01+00:00,1464568441197764612,"At 13:15 Saturday, 27 November 2021 (GMT +01:00) in Berlin-Friedrichshain, Germany it was 3°C and sunny. 
Wind direction: SSE. Wind speed: 13kph. 
Pressure: 29.29mb. Humidity: 75%",random__weather,en,Friedrichshein-Kreuzbert,friedrichshain,0
12,2021-11-25 23:39:43+00:00,1464015975725125634,"@DDROnline Do the obvious stuff like Frankfurter Allee but go in, around and behind it (the socialist murals, the Weberwiese apartment house). The obviously DDR cafe in the Friedrichshain park, and good old Lenin still standing in the Greifswalder Strasse... also the Berlin Central Library.",cskwriter,en,Friedrichshein-Kreuzbert,friedrichshain,2
13,2021-11-22 07:19:44+00:00,1462682192635641858,"@Bloodyromcom According to @_lucaApp data from August and September, mostly in Friedrichshain-Kreuzberg. Just don't go there and you're pretty safe in Berlin.

#TweetingLike @dpa @tagesschau …",sand2drn,en,Friedrichshein-Kreuzbert,friedrichshain,0
14,2021-11-19 08:30:09+00:00,1461612749692276738,…a practical help to measure your COVID-distance to folks in busses and waiting lines…Pic today at bus station in Berlin-Friedrichshain 😅 https://t.co/nEJDhmWo3O,AmbLindnerIndia,en,Friedrichshein-Kreuzbert,friedrichshain,124
15,2021-11-18 13:59:10+00:00,1461333162181726221,"@dominik_scherm and I have a 6-bedroom apartment in Berlin Friedrichshain in prospect which could be a good starting point.
So hit me up if you wanna join an altruistic community of young, ambitious coders, designers and dreamers",johannes_hage,en,Friedrichshein-Kreuzbert,friedrichshain,8
16,2021-11-16 10:39:37+00:00,1460558165850742786,"I love the people living in Kottbusser Straße, they are sound and calm. #Berlin #Kreuzberg #Friedrichshain",CarinoBRLN,en,Friedrichshein-Kreuzbert,friedrichshain,0
17,2021-11-15 20:20:56+00:00,1460342071512993792,"On what is now a lawn in the middle of  Stralauer Platz in Berlin-Friedrichshain once stood the Andreaskirche, a church from 1856 that burned out after an air raid in May 1944 and was demolished in 1949. The parish hall still stands on the southern side of the square. https://t.co/dbuhCJt87Y",kriegsspuren,en,Friedrichshein-Kreuzbert,friedrichshain,4
18,2021-11-14 16:02:42+00:00,1459914698380488714,"Gregor Pinke’s name, however, does not appear in the lists at Plötzensee. According to other sources, Gregor Pinke was sent to Warsaw where he died/was killed in 1941. The plaque is from 1977 and was stored between 2000 and 2018 in the Museum Friedrichshain-Kreuzberg in Berlin.",kriegsspuren,en,Friedrichshein-Kreuzbert,friedrichshain,1
19,2021-11-13 07:22:30+00:00,1459421398137462784,"🇨🇺 #Berlin #Friedrichshain #HandsOffCuba #15NCuba
🤜🏽 Against terror, economic warfare and fake news!
#Kuba #Cuba #Fhain #b1311 #b1411 #b1511 #15N https://t.co/zx1e3tewtk",interabend,en,Friedrichshein-Kreuzbert,friedrichshain,7
20,2021-11-12 16:26:28+00:00,1459195902984343568,"@solid_xkoelln @JoeDoe_____ In #Friedrichshain auch schon ein paar... 

🇨🇺 #HandsOffCuba #15NCuba
🤜🏽 Against terror, economic warfare and fake news!
#Kuba #Cuba #Berlin https://t.co/eYkfruTO2p",interabend,en,Friedrichshein-Kreuzbert,friedrichshain,5
21,2021-11-12 14:41:53+00:00,1459169585324822546,"Happy Fursuit Friday!
Photos show (in no particular order) Roxas, Kyra, Tigt, Melina, Nirusu, Nanami, Skully, @DraxRaccoon and Kilida at the #Berlin Fursuit Walk #Friedrichshain 2021.
📸 = @MaxRaccoonism

#fursuitfriday #furry #fursuit https://t.co/0AB8mnHswG",MaxRaccoonism,en,Friedrichshein-Kreuzbert,friedrichshain,9
22,2021-11-12 03:42:26+00:00,1459003628392304640,Gagarin is a hot sauce and Sternburg imbiss close to Palm Beach Friedrichshain #Berlin,VisitBerlinNow,en,Friedrichshein-Kreuzbert,friedrichshain,0
23,2021-11-10 08:41:51+00:00,1458354204293042179,"I love the people living in Charlottenstraße, they are sound and calm. #Berlin #Kreuzberg #Friedrichshain",CarinoBRLN,en,Friedrichshein-Kreuzbert,friedrichshain,0
24,2021-11-06 12:29:59+00:00,1456962063134298113,Very dangerous and illegal parking job by a truck in Friedrichshain right before where cyclists need to go over the tram tracks to get on the raised cycle lane. Still a lot of work to go to make cycling safer in Berlin #falschparker #Verkehrswende https://t.co/3q8O0oSZcE,semisara,en,Friedrichshein-Kreuzbert,friedrichshain,2
25,2021-11-04 10:10:23+00:00,1456202157460529154,Went on a three hour walk from Steglitz to Friedrichshain (across the city) the other week and man Berlin can be so beautiful during autumn. https://t.co/eZPk8PLV97,lethasama,en,Friedrichshein-Kreuzbert,friedrichshain,1
26,2021-11-03 15:51:07+00:00,1455925517362733057,"I love the people living in Forster Straße, they are sound and calm. #Berlin #Kreuzberg #Friedrichshain",CarinoBRLN,en,Friedrichshein-Kreuzbert,friedrichshain,0
27,2021-10-30 08:43:58+00:00,1454368467365384193,"Zuckerberg surprisingly announces the newly renamed mother company of Facebook, Instagram and WhatsApp will also move their headquarter to Berlin Friedrichshain https://t.co/muZC2S04Hh",formfolgt,en,Friedrichshein-Kreuzbert,friedrichshain,5
28,2021-10-28 08:35:00+00:00,1453641435325026305,"@antonnewcombe Just got back a couple months ago from my honeymoon in Berlin, stayed in Friedrichshain which was stunning. Please go to Maison Umami-it is the #6 BEST restaurant in Berlin and #1 best Asian -it does Thai food. We went 4 nights in a row and couldn’t get enough of it.",by_zooey,en,Friedrichshein-Kreuzbert,friedrichshain,0
29,2021-10-27 18:36:14+00:00,1453430352282783752,"@FinancialTimes Prenzlauer Berg, Mitte and Friedrichshain are expensive trendy districts. Sometimes 60% will be spent on rent. I love Berlin❤️but rent is awesome. Partly in Berlin`s outskirts it`s a little bit cheaper in the eastern part of the city-but not so often!",AnjaSch50549695,en,Friedrichshein-Kreuzbert,friedrichshain,0
