,Datetime,Tweet Id,Text,Username,Language,District,Sub District,Up Votes
0,2021-12-22 15:10:50+00:00,1473672382963462151,"I also visited some famous dead communists today at Berlin's Zentralfriedhof Friedrichsfelde aka 'Socialist Cemetery'
....and no, the 🌹🌹🌹 were not from me. https://t.co/ZokVxAZxhT",hoyer_kat,en,Lichtenberg,friedrichsfelde,186
1,2021-10-14 19:00:01+00:00,1448725296904118276,"At 21:00 Thursday, 14 October 2021 (GMT +02:00) 
in Berlin-Friedrichsfelde, Germany it was 12°C and partly cloudy. 
Wind direction: WSW. Wind speed: 16.9kph. 
Pressure: 1018mb. Humidity: 88%",random__weather,en,Lichtenberg,friedrichsfelde,0
2,2021-03-05 07:00:33+00:00,1367731743218950144,"Countdown to #RosaLuxemburg150: 
0 - On 15 January, 1919, #RosaLuxemburg and #KarlLiebknecht were abused and shot on the way to prison. On 13 June, 1919, they were buried in the cemetery in Berlin ­Friedrichsfelde. The funeral pro­cession turned into a powerful demonstration. https://t.co/6Z7hZP2ovz",rosaluxgeneva,en,Lichtenberg,friedrichsfelde,2
3,2021-02-21 01:00:00+00:00,1363292353620971520,"Zookeepers Michael Horn and Evelyn Schmidt hold ten young skunks during their presentation at the Tierpark Friedrichsfelde zoo in Berlin (June 15, 2010). https://t.co/ryPbzbGqBw",skunkeveryhour,en,Lichtenberg,friedrichsfelde,87
4,2021-01-07 07:07:40+00:00,1347077425616875521,"Memorial to the fallen Spartacists: Karl Liebknecht and Rosa Luxemburg. Friedrichsfelde Central Cemetery, Berlin.
Designed by Ludwig Mies van der Rohe in 1926; destroyed by the Nazis at some point after 1933. https://t.co/FGk9CP7Sob",TheAnorak,en,Lichtenberg,friedrichsfelde,1
5,2021-12-29 17:01:21+00:00,1476236911442370566,"Field Marshal Wilhelm Keitel signing the Instrument of Surrender of the German Wehrmacht at the Soviet headquarters in Karlshorst, Berlin, May 1945. After trial, he was sentenced to death and executed in Nuremberg Prison by hanging in 1946. 1024x788 #UPSC https://t.co/948K72f1vs",UPSCPractice,en,Lichtenberg,karlshorst,0
6,2021-12-23 21:07:52+00:00,1474124622543179778,"Field Marshal Wilhelm Keitel signing the Instrument of Surrender of the German Wehrmacht at the Soviet headquarters in Karlshorst, Berlin, May 1945. After trial, he was sentenced to death and executed in Nuremberg Prison by hanging in 1946.
#WorldHistory #OTD https://t.co/boLD1XcuR3",_EbenezerMensah,en,Lichtenberg,karlshorst,1
7,2021-12-21 19:33:14+00:00,1473376032892010496,"Got my #ModernaBooster today at Trabrennbahn Berlin-Karlshorst. Happy to report that folks there were exceedingly friendly and highly efficient. Oh, and my arm only hurts because my merciless mother made me decorate our tree when I got home 😉 https://t.co/HSOpO5O7pc",germsinhistory,en,Lichtenberg,karlshorst,24
8,2021-10-31 09:00:16+00:00,1454734957683871744,"Field Marshal Wilhelm Keitel signing the Instrument of Surrender of the German Wehrmacht at the Soviet headquarters in Karlshorst, Berlin, May 1945. After trial, he was sentenced to death and executed in Nuremberg Prison by hanging in 1946. [1024x788] https://t.co/hndRB1zD8R",historypiczz,en,Lichtenberg,karlshorst,0
9,2021-08-28 07:30:01+00:00,1431519423366582274,"At 09:30 Saturday, 28 August 2021 (GMT +02:00) 
in Berlin-Karlshorst, Germany it was 11.4°C and partly cloudy. 
Wind direction: NNE. Wind speed: 6.1kph. 
Pressure: 1015mb. Humidity: 87%",random__weather,en,Lichtenberg,karlshorst,0
10,2021-07-06 11:06:20+00:00,1412367304139051010,"𝐓𝐫𝐚𝐯𝐞𝐥 𝐃𝐨𝐜𝐮𝐦𝐞𝐧𝐭 𝐒𝐨𝐯𝐢𝐞𝐭 𝐌𝐢𝐥𝐢𝐭𝐚𝐫𝐲 𝐀𝐝𝐦𝐢𝐧𝐢𝐬𝐭𝐫𝐚𝐭𝐢𝐨𝐧, Soviet Occupation Zone, Berlin-Karlshorst 1947 for a Lieutenant Colonel traveling to Yugoslavia incl Hungary and CSSR stamps. #SBZ #DDR #GDR #ColdWar #Germany #USSR #passport #berlin https://t.co/7zBHfbjp18",PassportHistory,en,Lichtenberg,karlshorst,1
