,Datetime,Tweet Id,Text,Username,Language,District,Sub District,Up Votes
0,2021-12-29 18:43:45+00:00,1476262682495959051,"#Detail
#Error
 
At 1h50s20s, of v=hMKqPgWJYr8, Michael S. Neiberg claims that ""You can walk around #Berlin and really have no idea that there was a First World War. There is no outdoor marker at all to it"".
This is false; e.g., there is a stone #WW1-memorial in #Berlin/#Marzahn: https://t.co/DIywl83gXX",LGcommaI,en,Marzahn-Hellersdorf,marzahn,2
1,2021-12-18 21:49:09+00:00,1472323071218442242,and this mall in Marzahn wins the best Christmas deco in Berlin 📣 https://t.co/iJZWu0eyzI,queen0fhell11,de,Marzahn-Hellersdorf,marzahn,7
2,2021-12-15 11:36:21+00:00,1471081691578081282,"Please retweet and share widely: if you hear of a 1-2 room apartment becoming free in Berlin (anywhere except the far east like Marzahn/kopenick), please pass it on to me! Getting in before the wave of literally hundreds of applications is the way to go.",DiaKayyali,en,Marzahn-Hellersdorf,marzahn,15
3,2021-12-13 12:28:08+00:00,1470369946706366466,"ooh lovely, look what's arrived from @PeirenePress 

""Marzahn, Mon Amour' - love letter from a chiropodist about an unloved suburb of east Berlin. Sounds wonderful, and what a good-looking book it is. https://t.co/z1Yf1iUvsB",mariafarrell,en,Marzahn-Hellersdorf,marzahn,15
4,2021-12-07 23:45:01+00:00,1468365964483997700,"At 00:45 Wednesday, 08 December 2021 (GMT +01:00) in Berlin-Marzahn, Germany it was 0°C and partly cloudy. 
Wind direction: ESE. Wind speed: 24.1kph. 
Pressure: 29.8mb. Humidity: 86%",random__weather,en,Marzahn-Hellersdorf,marzahn,0
5,2021-11-25 08:56:02+00:00,1463793589083910144,"Good morning #Berlin! ☀️ #today we march in #marzahn against racist &amp; sexist violence.We show our resistance, determination and autonomy beyond borders. We stand hand in hand, shoulder to shoulder together. The fight of one Sister is the fight of all. See you There! ✊🏽#b2511 #25N",Int_Feminists,en,Marzahn-Hellersdorf,marzahn,24
6,2021-11-20 13:46:54+00:00,1462054848996782092,"@duke4204 Seriously friends took me to Marzahn in Berlin expecting that would shock me and I was like ""this feels like home to me"" 😆",giulio_mattioli,en,Marzahn-Hellersdorf,marzahn,2
7,2021-11-05 18:39:33+00:00,1456692679870337026,"I love the people living in Bredereckstraße, they are sound and calm. #Berlin #Marzahn #Hellersdorf",CarinoBRLN,en,Marzahn-Hellersdorf,marzahn,0
8,2021-10-31 14:21:13+00:00,1454815728008318978,"Oh this is wonderful - moving, funny, full of heart💙
Marzahn, Mon Amour by Katja Oskamp, tr. by Jo Heinrich. 
Chosen as Berlin Reads One Book it's about a former writer who retrains as a chiropodist and her elderly clients.

Published by @PeirenePress in Feb. 

Highly recommend! https://t.co/NQysDlIDJU",JackieLynam,en,Marzahn-Hellersdorf,marzahn,13
9,2021-10-22 11:51:51+00:00,1451516648393953288,"Major Luthe of the Nationale Volksarmee Munitionsbergungsdienst (Munitions Salvage Service) with recovered Second World War aerial bombs, artillery shells, and rockets, Berlin-Marzahn, DDR, 1st July 1980.

(NBL Bildarchiv) https://t.co/Ht15z9lVxQ",J_O_Holliday,en,Marzahn-Hellersdorf,marzahn,52
