,Datetime,Tweet Id,Text,Username,Language,District,Sub District,Up Votes
0,2021-10-10 19:08:55+00:00,1447277986017955845,"#Berlinpokal - Round 3️⃣

Plenty Pokal footy in Berlin today:

FSV Hansa 0:5 @VSG_Berlin 

And stand out results from the West Berlin sides - Berliner SV 0:4 Viktoria Berlin &amp; TeBe 1:2 BAK.

Still two to play this round - Hermsdorf : Sparta Lichtenberg and Stern Britz : Tasmania. https://t.co/dOK9cjfc1E",Fussball_DDR,en,NeukÃ¶lln,britz,0
1,2021-04-19 08:05:33+00:00,1384055553807110149,Rent is so high in Berlin the residents of Britz are resorting to slash and burn agriculture. https://t.co/O1vFOW4n5X,tamcgath,en,NeukÃ¶lln,britz,6
2,2021-03-09 13:19:37+00:00,1369276690288021507,"And in the next stage of Jon scours Berlin for the perfect Kvas, Birch Water and Lutenitsa... Supermarket “Russia” at Britz-Süd. A little run down but it stocks the best Kvas. And Putin mugs too (I didn’t buy one, don’t worry). And best of all: just 5km from home https://t.co/YUjLz3L8BO",jonworth,en,NeukÃ¶lln,britz,19
3,2021-01-30 09:01:04+00:00,1355440886365216769,Berlin-Britz covered in Snow. I just can't believe it snowed here for the fourth time already and this time the most https://t.co/NKK3xTUBaQ,sgrudzien34,en,NeukÃ¶lln,britz,10
4,2021-12-06 20:17:38+00:00,1467951388504252417,"Btw  if someone from here is from berlin i would appreciate if we could maybe meet and we could see some places he locals visit, we are residing in Buckow, Neukölln atm and are here until Dec 10th",ValveSquad,en,NeukÃ¶lln,buckow,2
5,2021-11-30 08:18:57+00:00,1465596195171045377,"Three Jewish DPs in the Schlachtensee displaced persons camp.

Pictured from left to right are Leonhard and Margot Natkowitz and Yeshayahu Zycer. The Natkowitz' were teachers in the DP camp.

Date:
1945 - 1948 
Locale:
Berlin, [Berlin] Germany
Variant Locale
Berlin-Buckow
Et al https://t.co/vsxo8mGkdt",JackDarcey2,en,NeukÃ¶lln,buckow,0
6,2021-10-18 09:45:10+00:00,1450035215582339074,"BERLIN-LIGA: Füchse Berlin Reinickendorf are back on top, that’s after they won 2-1 at home to TSV Rudow, and Sparta Lichtenberg &amp; TUS Makkabi – who they were tied on points with going into the matchday – drew 2-2 with each other.",BerlinFooty,en,NeukÃ¶lln,rudow,1
7,2021-02-12 21:12:03+00:00,1360335884927856644,"This bell button comes from a #forcedlabourcamp in Berlin #Rudow. The camps also included infrastructure such as fences, gates, electrical lines - and bell systems.

#ObjectOfTheWeek #ausgeschlossen https://t.co/7PljB9y6CP",dznsza,en,NeukÃ¶lln,rudow,1
8,2021-08-27 21:37:51+00:00,1431370398894071815,A wonderful evening with some friends and loved ones at an exhibition of paintings at the meeting point of the intellectual hall of Gemeinschaftshaus Gropiusstadt in Berlin. Glad to see all these Kurdish talents and hobbies gathering here ( : https://t.co/KkH7xgGU9N,hamazangana97,en,NeukÃ¶lln,gropiusstadt,4
9,2021-05-29 21:11:39+00:00,1398748900098457608,"@LeBobJr BTW the Berliner Mauerweg is really well signposted, but the quality of the tracks is... well, it could be better. Especially on the parts alongside Gropiusstadt and along the south of Berlin.",jonworth,en,NeukÃ¶lln,gropiusstadt,1
10,2021-05-20 10:00:00+00:00,1395318380052234242,"#OneYearAgo #Berlin #Neukoelln #Gropiusstadt
3: Bat-Yam-Platz (street signs in german and hebrew) https://t.co/QQYwSq6naU",FloTempelhof,en,NeukÃ¶lln,gropiusstadt,1
11,2021-04-08 15:58:48+00:00,1380188385218822146,"@jacsonbrowne @dezeen There are a bunch of those in West Berlin too, Gropiusstadt and Märkisches Viertel come to mind. Hansaviertel is both far less dense (as an architectural showcase) and benefits from the vicinity of the Tiergarten.",oliverbeige,en,NeukÃ¶lln,gropiusstadt,0
