,Datetime,Tweet Id,Text,Username,Language,District,Sub District,Up Votes
0,2021-12-29 11:22:44+00:00,1476151694077485057,"@simongerman600 Only very curious sociological occurrence is that #Prenzlauerberg the trendiest, hipster, liberal area in #Berlin, has the highest Birthrate in 🇩🇪 and it is jam packed, standing room only on Sunday’s in the #Catholic Sacred Heart Church on #Fehrberlinerstr. ⛪️
#herzJesu 
(preC19)",IBN_Berlin,en,Pankow,prenzlauer berg,0
1,2021-12-28 03:43:20+00:00,1475673697721610242,"When in Prenzlauer Berg, try the spongy chickens at Sauvage. A kitchen that serves a mixture of shallots and Berlin-style rums #Berlin",VisitBerlinNow,en,Pankow,prenzlauer berg,0
2,2021-12-28 01:27:02+00:00,1475639396607086596,"@_ryanruby_ Thanks v much. Will read &amp; report back. Judgements on Stifter also appreciated. Also pls tone down all the Berlin stuff: I had a client in Berlin 2018-20 and I sorely miss Prenzlauer Berg, Hofpfisterei, and much more",llaisdy,en,Pankow,prenzlauer berg,1
3,2021-12-26 22:02:48+00:00,1475225610008027145,"@MClaudeHawkes @ColdWarPod @Renni_g73 It's Berlin, I think Leo grew up in and around Prenzlauerberg as I recall",LozSchlepper37L,en,Pankow,prenzlauer berg,1
4,2021-12-20 09:00:40+00:00,1472854452126339073,"Our app is the path you need to connect you to the world. It helps you to discover new places, neighbourhoods, and cities. Searching inside of it is like opening a door for new experiences. Discover Prenzlauer Berg. Discover Berlin. Discover Xayn. 🤗 🏠 🔮 #GoXayn https://t.co/DH7BS7wzWJ",XaynHQ,en,Pankow,prenzlauer berg,5
5,2021-12-16 18:16:42+00:00,1471544831927369728,@GillianCarring6 I love Bahadur. Best Indian food I've had in Berlin. Just very far from Prenzlauer Berg - and I'm still hoping for some decent delivery options. Even though nothing will ever be able to compete with the choice in London.,patrickheidmann,en,Pankow,prenzlauer berg,0
6,2021-12-16 17:16:04+00:00,1471529570985779200,"Finally, time for cake, in Prenzlauer Berg; black sesame, mascarpone, lime and cucumber. 
Bis bald, #Berlin. https://t.co/n4u8s29ZIQ",zsuzsettte,en,Pankow,prenzlauer berg,31
7,2021-12-16 13:21:02+00:00,1471470423321628677,"A week before leaving Berlin, I took my friend Z to a bar named 'An einem Sonntag im August' in Prenzlauer Berg. We hung out and talked about life while drinking IPAs n looking out of the neon lit windows. It's one of my most cherished memories of #Berlin. ♥️",AnanditSachdev,en,Pankow,prenzlauer berg,4
8,2021-12-15 10:59:29+00:00,1471072413576310789,@vmlemon @sskras but then again you are more next to prenzlauer berg then wedding .. lets say you are on the old border between west and east berlin :),hideout,en,Pankow,prenzlauer berg,1
9,2021-12-13 15:55:15+00:00,1470422069544378370,"@osselbosss That’s the housing market in Berlin hahahah but check cheaper neighborhoods like wedding, prenzlauerberg, charlottenburg, and some areas in kreuzberg",JustYoussefH,en,Pankow,prenzlauer berg,1
