,Datetime,Tweet Id,Text,Username,Language,District,Sub District,Up Votes
0,2021-12-16 16:41:33+00:00,1471520887350300680,"BERLIN-LIGA: a 2-1 home win over BSV Al-Dersimspor helps Füchse Berlin Reinickendorf close the gap on leaders Sparta Lichtenberg to 3 points, and 2nd-place TUS Makkabi to a single point, with one round of games left to go before the winterpause.",BerlinFooty,en,Reinickendorf,reinickendorf,0
1,2021-12-06 12:28:10+00:00,1467833243781193730,"BERLIN-LIGA: leaders @sv_sparta were the big winners this weekend – that’s because they now have a 2 point lead after destroying title rivals Füchse Berlin Reinickendorf (3rd) 6-0 at home, and 2nd –place TUS Makkabi were held in a 1-1 draw at home to FC Wilmersdorf.",BerlinFooty,en,Reinickendorf,reinickendorf,1
2,2021-11-22 10:21:54+00:00,1462728035644358660,"BERLIN-LIGA: Füchse Berlin Reinickendorf didn’t play this weekend, and @sv_sparta  took full advantage, their 6-4 win over SC Charlottenburg taking them to the summit.

TUS Makkabi also go above Füchse into 2nd, level on points with Sparta, they won 2-0 at home to Berliner SC.",BerlinFooty,en,Reinickendorf,reinickendorf,0
3,2021-11-19 02:44:14+00:00,1461525695138451457,"I love the people living in Theresenweg, they are sound and calm. #Berlin #Reinickendorf",CarinoBRLN,en,Reinickendorf,reinickendorf,0
4,2021-11-08 10:50:17+00:00,1457661748526387200,"BERLIN-LIGA: with leaders Füchse Berlin Reinickendorf not in action this weekend, wins for @sv_sparta (3-2 at home to Frohnauer SC) and TUS Makkabi (2-1 at home to FC Stern Marienfelde) mean that we now have a 3-way tie at the top of the table, with all teams on 31 points.",BerlinFooty,en,Reinickendorf,reinickendorf,1
5,2021-10-18 09:45:10+00:00,1450035215582339074,"BERLIN-LIGA: Füchse Berlin Reinickendorf are back on top, that’s after they won 2-1 at home to TSV Rudow, and Sparta Lichtenberg &amp; TUS Makkabi – who they were tied on points with going into the matchday – drew 2-2 with each other.",BerlinFooty,en,Reinickendorf,reinickendorf,1
6,2021-10-01 06:16:56+00:00,1443822219390590978,"@reason In some electoral districts in Berlin there was a turnout of over 100% for the vote on expropriation. 150% for example in Reinickendorf. Likewise, ballots were found in the garbage and chronically ill people were prevented from voting.",koopaloff,en,Reinickendorf,reinickendorf,0
7,2021-09-29 12:01:15+00:00,1443184093630509057,"Many neighbourhoods in Berlin – including Reinickendorf, Steglitz and Neukölln (pictured below) – used to place their street signs on the side of buildings. Today only a few remain.
#TypeInBerlin #StreetWeek https://t.co/E0xQkDTow0",Berlin_Type,en,Reinickendorf,reinickendorf,44
8,2021-09-25 22:05:48+00:00,1441886682555555842,"I love the people living in Lichtungsweg, they are sound and calm. #Berlin #Reinickendorf",CarinoBRLN,en,Reinickendorf,reinickendorf,0
9,2021-09-23 20:24:17+00:00,1441136359301791753,"Guten Abend from Reinickendorf, our @Royal_Greenwich twin town here in Berlin! A lovely catch up with Mayor Balzer and a little trip to #greenwich Promenade ahead of the @berlinmarathonE at the weekend. Great to be here with some @plumsteadrunner who are running on Sunday too. https://t.co/rfTaMDMlmC",DanLThorpe,en,Reinickendorf,reinickendorf,31
10,2021-09-20 13:14:28+00:00,1439941026819497987,"#BERLINLIGA Füchse Berlin Reinickendorf continued their 100% start to the season with a 3-1 win at home to Türkiyemspor.

TUS Makkabi leapfrog Sparta Licentenberg into 2nd after they won 5-1 at home to Fortuna Biesdorf and Sparta didn’t have a game this weekend.",BerlinFooty,en,Reinickendorf,reinickendorf,0
11,2021-09-13 09:23:50+00:00,1437346270226616322,"Despite not playing this weekend, Füchse Berlin Reinickendorf remain top of the #BerlinLiga, but they are now joined on 12 points by Sparta Lichtenberg who won 1-0 at 1. FC Wilmersdorf, and also SV Empor Berlin who won 2-0 at home to S.D. Croatia Berlin.",BerlinFooty,en,Reinickendorf,reinickendorf,0
12,2021-08-16 12:09:21+00:00,1427241065178963972,"#BERLINLIGA: Füchse Berlin Reinickendorf move top on goal difference after their 4-0 win at home to FC Wilmersdorf. Berlin Hilalspor &amp; SV Empor Berlin are both also on two wins from the first two games, they won 3-1 against FC Brandenburg 03 and 2-0 at Frohnauer SC respectively.",BerlinFooty,en,Reinickendorf,reinickendorf,1
13,2021-08-13 06:51:57+00:00,1426074025588101120,"Fascinating
the Raven has seen
Foxvillage is green
BaerLeen is green
Germanee is green
and very European
@ABaerbock #Berlin #btw21 #Bundestagswahl #EU #Germany @Greenpeace  #Füchse #Reinickendorf #Tagesspiegel #Tegel https://t.co/38AJnCKlHN",khlongraven,en,Reinickendorf,reinickendorf,2
14,2021-07-07 12:34:28+00:00,1412751871169662976,"@FluffyFox01 @FoxxieAlphie I lived in Reinickendorf (a district in Berlin) and we literally had the fox as our flag because they are everywhere.

Reinicke is also the name of a fox from a fable so.. Basically it's called Reinicken Village",Kushihugpaw,en,Reinickendorf,reinickendorf,0
15,2021-07-04 01:19:01+00:00,1411494726142992392,"I love the people living in Schlieperstraße, they are sound and calm. #Berlin #Reinickendorf",CarinoBRLN,en,Reinickendorf,reinickendorf,0
16,2021-06-06 07:29:43+00:00,1401441156018413572,"""Weisse Stadt"", Right Gatehouse
The ""Weisse Stadt"" in Berlin-Reinickendorf is a large housing estate of classical modernism from the 1920s. It will be a set of at least five pieces. I will first create all 3D models and start with the two gatehouses. Here first the right one. https://t.co/xjkgZ5ZGJi",YhUrbanProject,en,Reinickendorf,reinickendorf,15
17,2021-05-08 10:30:36+00:00,1390977426436526082,"But I don't hate people like you. Give me a call and I'll bring you some sushi. There's a charge, though!
#Berlin  #Burger #Sushi #Abendessen #Essen #hunger #bestellen #LABurgerandSushi #uranusweg #Reinickendorf  #Sprichwort  #Lieferservice https://t.co/sTgt1tULcs",LABurgerSushi,en,Reinickendorf,reinickendorf,1
18,2021-04-30 22:42:47+00:00,1388262585531867136,"I love the people living in Oswinsteig, they are sound and calm. #Berlin #Reinickendorf",CarinoBRLN,en,Reinickendorf,reinickendorf,0
19,2021-04-27 18:10:17+00:00,1387106842673823750,"Children playing at the Berlin Wall in Berlin-Wedding , 1963.
Ph Thomas Hoepker 

After World War II, Wedding and Reinickendorf formed the French sector of Berlin together.
1/4 https://t.co/USqcQlrMTk",frad_fradi,en,Reinickendorf,reinickendorf,0
20,2021-04-11 09:44:08+00:00,1381181260308082689,"I love the people living in Erholungsweg, they are sound and calm. #Berlin #Reinickendorf",CarinoBRLN,en,Reinickendorf,reinickendorf,0
21,2021-03-28 14:42:55+00:00,1376183023905992706,"I love the people living in Hechelstraße, they are sound and calm. #Berlin #Reinickendorf",CarinoBRLN,en,Reinickendorf,reinickendorf,0
22,2021-03-08 17:37:32+00:00,1368979210845487106,"I love the people living in An der Schneise, they are sound and calm. #Berlin #Reinickendorf",CarinoBRLN,en,Reinickendorf,reinickendorf,0
23,2021-02-22 17:16:56+00:00,1363900595615195140,@stilinberlin Its definitely a Berlin wide issue. I'm in Reinickendorf and you see it there and in Wedding etc....,YuKong74879146,en,Reinickendorf,reinickendorf,1
24,2021-01-31 18:59:59+00:00,1355953996549283844,"That first pulp (“heftroman”) about Jenkins was BILLY JENKINS #1-4 (1930), and was a limited success. Jenkins loved the branding of it—it helped sell tickets to his Revue and to the dude ranch he ran on his own property in the Reinickendorf section of Berlin. 

8/",jessnevins,en,Reinickendorf,reinickendorf,12
25,2021-01-15 10:02:24+00:00,1350020500521684995,"Road my bike into work today; First time I've been in the office since November. On the way in, I saw at least 5 or 6 ambulances between Prenzlauer Berg and Reinickendorf. Not sure if it's corona, or just that time of year. We're currently looking at 194.7 pro 100k in Berlin.",Igelritter,en,Reinickendorf,reinickendorf,1
26,2021-01-11 09:29:01+00:00,1348562550913425408,"I love the people living in Arnheidstraße, they are sound and calm. #Berlin #Reinickendorf",CarinoBRLN,en,Reinickendorf,reinickendorf,1
27,2021-01-03 10:28:22+00:00,1345678381447340032,"I love the people living in Borsigwalder Weg, they are sound and calm. #Berlin #Reinickendorf",CarinoBRLN,en,Reinickendorf,reinickendorf,1
28,2021-12-23 19:14:29+00:00,1474096087472345136,"ㅤ 
#TYTRACKSEDUNIA

📍 Berlin Tegel Airport.

‘On behalf of The Airlines and the entire crew, I’d like to thank you for joining us on this trip. We are looking forward to seeing you on board again in the near future. Have a nice day!’
ㅤ https://t.co/YPgnpDzWwR",teayovg,en,Reinickendorf,tegel,0
29,2021-12-20 09:41:55+00:00,1472864834886774788,".. Last entry from our teachers hiking / field trip tour in May 1943 🤔🧐! Berlin suburbs, only now. Tegel and Heiligensee (Upper North districts by the lakeside) ...... After that.. a void for several years 😠 until.... https://t.co/HL8btc5Y2d",AliceB01973554,en,Reinickendorf,tegel,9
30,2021-12-18 14:29:02+00:00,1472212314258657281,"#moabit from the #siegesäule 
#berlin 
you can see the #borsigturm in #tegel in the distance as well as westhafen and rathaus moabit. the church in the middle is the #heilandskirche on thusnelda allee https://t.co/YgWjY4ZH6a",fergus_b,en,Reinickendorf,tegel,2
31,2021-12-17 10:29:21+00:00,1471789604978270211,6 year-old got her vaccine today! So grateful to kind and thoughtful staff at Tegel (former Berlin airport). Sign says ‘Bravery certificate’ #ImpfenRettetLeben https://t.co/oRsR3uR3I2,maxheywood,en,Reinickendorf,tegel,2
32,2021-12-16 18:27:43+00:00,1471547603494055949,"@jonworth 8h33 to get to Brugge from Berlin? I guess you can't get to Brugge without going through Brussels, even if you had to fly to Brussels from Berlin, and not from Tegel. What you've got seems like your best option.",forakin,en,Reinickendorf,tegel,0
33,2021-12-11 18:07:59+00:00,1469730698781245444,"@hideout Snow!  First time I came to Berlin, there was loads of snow and the river was frozen!  Last flight out of Heathrow to get there, last flight out of Tegel to get back! Happy days.",MX5XM,en,Reinickendorf,tegel,3
34,2021-12-08 11:35:12+00:00,1468544687720079364,"Waiting for the booster in a long queue in freezing temperatures at former Berlin Tegel airport - all went smoothly though, and everyone was efficient and very friendly https://t.co/2ME4qdLmbN",HeikeBecker14,en,Reinickendorf,tegel,5
35,2021-12-06 19:12:23+00:00,1467934966562623491,@VWGroup @Herbert_Diess @volkswagen If you would have based that in Berlin (Tegel perhaps) you would have been onto a winner and attracted the best talent. I guess @stephanweil wouldn’t agree though,auto_schmidt,en,Reinickendorf,tegel,5
36,2021-12-03 17:16:45+00:00,1466818702498840589,@CNNBusiness YESTERDAY I HAVE TESTED COVID 19 NEGATIVE AND TODAY I GET VACCINE MODERNE FROM THE FIRST TIME IN VACCINE CENTER IN EX AIRPORT BERLIN TEGEL -I AM VACCINATED NOW -IAM PLEASED TO MEET THE MEDIA -WARNERMEDIA DISCOVERY -WELCOME TO MEET TO CONNECT THE MEDIA -GOOD LUCK,MohamedBeji61,en,Reinickendorf,tegel,0
37,2021-12-02 17:29:15+00:00,1466459459996291080,If it takes more than eight seconds to get from the plane to my hotel then Berlin’s new airport is a mistake and they should reopen Tegel,BenWEStephenson,en,Reinickendorf,tegel,2
38,2021-12-01 20:08:48+00:00,1466137226417520649,"@mmtairo Reason why Berlin fails for international travel. But, I guess there is opportunity for secondary airports in a place like Nakuru, if only free skies worked, and the Ryanair- easyJet model applied, that uses secondary airports like Frankfurt Hahn, Stansted, Tegel.",MalcomvonRongai,en,Reinickendorf,tegel,0
39,2021-11-25 10:06:49+00:00,1463811405174480896,"@mehus3rnam3 Berlin Brandenburg had a purpose, to replace Tegel which was old and in the middle of the city.",mean_free_heart,en,Reinickendorf,tegel,0
40,2021-11-24 12:58:03+00:00,1463492106358566923,"Got my booster shot at the Berlin Tegel vaccination center. I went without an appointment and took around 3 hours. All the documents were sent to me throw Doctolib, so quite efficient!",JavierBullrich,en,Reinickendorf,tegel,0
41,2021-11-24 12:20:08+00:00,1463482563960393732,By the time I’m booster vaccinated I’ll have been waiting four hours outside Berlin-Tegel in the rain with a number of people older and more inform than me. All because the soonest appointment available online is in February. #Impfpflicht Shitshow.,HugoMills,en,Reinickendorf,tegel,2
42,2021-11-16 10:37:40+00:00,1460557674224001024,"The adaptive reuse of the Berlin Tegel airport to a vaccination center is an interesting reuse of space. No physical distraction, just psychological and behavioral distruption.

I find it cute.😅",3pro_Zeal,en,Reinickendorf,tegel,0
43,2021-11-14 22:02:16+00:00,1460005185133158405,"@VanEmman @bhaisahib @Idealogicaltwo @thehighsign BER was a fresh mess in 2015 when I visited and it's very Berlin of Berlin to accept it so casually (when I flew out of Tegel at 8am all they had was expired salads to eat, and I'm pretty sure I had to walk on the tarmac to get to my plane, oof.)",jennrichter,en,Reinickendorf,tegel,1
44,2021-11-12 21:04:34+00:00,1459265890491322369,"@ELuttwak The new Berlin airport has been a shambles, too. And they’ve closed Tegel, even though they need the capacity.

What major country of Europe is actually getting more competent? France?",KtunaxaAmerika,en,Reinickendorf,tegel,0
45,2021-11-10 01:00:46+00:00,1458238165819461636,"@bhaisahib @Idealogicaltwo @thehighsign Tegel shut down and the cursed monstrosity known as Berlin Brandenburg Airport (BER) was erected on the other side of town. Nearly everything about this place, including the 14+ years it took to build, is a failure.",VanEmman,en,Reinickendorf,tegel,7
46,2021-11-08 13:13:04+00:00,1457697681153867776,"@duncan I've not yet had that ""joy"". The last time I flew into Berlin  was in 2019 and was into Tegel/TXL, which was so easy to get around (admittedly with its own quirks).",danyork,en,Reinickendorf,tegel,1
47,2021-11-08 11:22:38+00:00,1457669888068276234,"A good buying trip at fleamarkets this weekend, but @berlinairport is a truly dreadful airport. Inefficient, impolite, and immensely time-consuming. Bag drop is appalling. Everyone seems stressed and angry. How could Berlin let this happen? (@British_Airways) Bring back Tegel! https://t.co/rSc0y2wcjO",antiquemark,en,Reinickendorf,tegel,8
48,2021-11-07 10:37:19+00:00,1457296098633125891,"@reaxnarykaguya I mean.. the referendum is non-binding and Berlin already ignored the prior referendum to keep Tegel airport open

and a lot of the private housing they want to nationalise was previously public housing that got sold by the city

most investors would make big profits either way",Yuigoslavia,en,Reinickendorf,tegel,0
49,2021-11-06 09:09:56+00:00,1456911718051946496,"The new Berlin airport @berlinairport is in theory an upgrade to tegel, but the organization is the worst I have witnessed of the 18 different airports I have been to. Five security control, not all open and one hour queues… how does this make any sense????",Wirtz_,en,Reinickendorf,tegel,13
50,2021-11-02 05:40:16+00:00,1455409401360048136,"Terror | Ferdinand von Schirach

There are 164 people on board flight LH 2047 from Berlin Tegel to Munich. The aeroplane, hijacked by a terrorist, is heading towards the Allianz Arena where 70,000 fans are watching the sold-out match between Germany and England.
#gemillibrary https://t.co/VVl4DFHGM1",waltermurphie,en,Reinickendorf,tegel,4
51,2021-10-31 17:05:26+00:00,1454857053369892865,"@Spacexecadet @airlinemaps They did not unless this was a plan based on some moment of optimism. What they did do was s work closely with PanAm, Air France and BEA to offer joint ticketing and through cargo.  Lufthansa had offices in West Berlin and counters at Tempelhof (and Tegel?) to assist with booking",erik_griswold,en,Reinickendorf,tegel,3
52,2021-10-23 13:46:55+00:00,1451907992408965128,"I’m no airport planner, but Berlin’s new BER airport feels poorly-designed and doesn’t offer a very friendly passenger experience. After years of delays, I’d hoped for something better on all levels. Certainly not an improvement on Tegel.",JoannaPartridge,en,Reinickendorf,tegel,0
53,2021-10-18 08:23:00+00:00,1450014536153579523,@VincehGG God bless they closed Berlin Schonefeld and Berlin Tegel. Both were one of the worst in EU,VikahaMiFeda,en,Reinickendorf,tegel,0
54,2021-10-15 12:34:57+00:00,1448990779612045312,"@carlbildt Tegel was the best airport in aviation history!
Never got on and off a plane as quickly and smoothly. Amazing concept, much better than shopping-mall like airports. I miss Berlin #Tegel!!",schnublinski,en,Reinickendorf,tegel,7
55,2021-10-12 08:41:53+00:00,1447844963111342081,"The French played little role in the Berlin Airlift, save for blowing up the Soviet radio mast obstructing Tegel airfield.
The Soviet commandant was furious and asked: ‘How could you do that?’
The witty French reply: ‘From the base. With dynamite!’
#CheckmateInBerlin https://t.co/3LLLVFE8fP",GilesMilton1,en,Reinickendorf,tegel,45
