,Datetime,Tweet Id,Text,Username,Language,District,Sub District,Up Votes
0,2021-12-24 12:17:05+00:00,1474353433012543488,"Berlin, Christmas Eve should be a great atmosphere, people should be out and about, last minute shopping, having a sneaky early drink and bratwurst. Instead shops deserted, the few people on Schloss Str in Steglitz mostly masked, only queues are for Corona Testing 😭🎄",ColinManning17,en,Steglitz-Zehlendorf,steglitz,7
1,2021-12-17 19:53:30+00:00,1471931580264419331,@Berlin_Type And now something completely different… #Steglitz https://t.co/jBYRkEd4nV,j_mndh,en,Steglitz-Zehlendorf,steglitz,2
2,2021-11-27 22:19:13+00:00,1464720491999109126,ZRSD NEWS: AfD alleged thief injures two employees and escapes. An AfD suspected shoplifter injured two employees of a hairdresser in Berlin-Steglitz. A kiosk owner recognized the AfD suspect on Friday afternoon in front of his shop. https://t.co/YWMs6T7TlQ,RightsGerman,en,Steglitz-Zehlendorf,steglitz,3
3,2021-11-19 10:29:15+00:00,1461642722629017603,Tonight in Berlin! Excited to perform Messiaen’s ‘Quartet for the End of Time’ and present the European premiere of ‘Uneasy’ by @clusterhocket - 19:00 at Markus Kirche in Steglitz! https://t.co/V9V07P9rmY,AnzuQuartet,en,Steglitz-Zehlendorf,steglitz,1
4,2021-11-15 17:59:15+00:00,1460306417588576258,"First appearance as a pianist in quite a while! I will contribute to a concert of #DTKV Berlin tomorrow, 16 Nov, 8 pm, at Schwartzsche Villa Berlin-Steglitz. I'll be performing two of my own #pianotranscriptions after Bach and Reger. Your company would be so much of a delight!",wendelinbitzan,en,Steglitz-Zehlendorf,steglitz,3
5,2021-11-13 10:20:13+00:00,1459466121074065408,"Three small plaques on the ground outside a building on my street in Steglitz, Berlin, that memorializes three Jews who once lived in the same nearby building until they were sent away by the Nazis to be murdered in Theresienstadt and Riga  (1942/3). https://t.co/hsJ8FWsesZ",_amroali,en,Steglitz-Zehlendorf,steglitz,22
6,2021-11-08 08:30:27+00:00,1457626557279838208,"In Berlin-Steglitz we call #Sedan|straße a #Fahrradstraße"",  but it's totally blocked by parked #Hatchbacks, and I think that's absolutely awful. @radbezirk_sz",TobiasZeller3,en,Steglitz-Zehlendorf,steglitz,0
7,2021-11-04 10:10:23+00:00,1456202157460529154,Went on a three hour walk from Steglitz to Friedrichshain (across the city) the other week and man Berlin can be so beautiful during autumn. https://t.co/eZPk8PLV97,lethasama,en,Steglitz-Zehlendorf,steglitz,1
8,2021-11-01 09:35:59+00:00,1455106335612325889,"A year before his death Franz Kafka had a very unusual experience. Strolling through the Steglitz park in Berlin, he found a girl crying heartbroken: she had lost her doll.
Kafka offered to help look for the doll and prepared to meet her the next day at the same place.",SirkaDr,en,Steglitz-Zehlendorf,steglitz,10
9,2021-10-29 17:59:31+00:00,1454145890395070476,At Rathaus Steglitz in Berlin for the @FMM_macro conference. Does anyone know what are all the noise and speeches about outside? Very loud.,JKSteinberger,en,Steglitz-Zehlendorf,steglitz,5
10,2021-10-18 11:00:10+00:00,1450054090403221504,"Five Years of Berlin Typography.

On 18 October 2016 we caught the U7 to Blissestr. and walked from there down to Steglitz. On turning our first corner we came face to face with this beauty (which still had purple neon back then).

#TypeInBerlin https://t.co/SbuCRTnO15",Berlin_Type,en,Steglitz-Zehlendorf,steglitz,256
11,2021-10-18 09:58:55+00:00,1450038676168318976,#Berlin is full of architectural surprises. This lovely water tower in the middle of a cemetary in #Steglitz was built between 1915-1919 and was designed by the famed architect Hans Heinrich Müller 1/4 https://t.co/AoRbHlrz4Q,iamkosmonaut,en,Steglitz-Zehlendorf,steglitz,60
12,2021-10-09 17:34:44+00:00,1446891894483652612,"Hey there, anyone currently in Berlin who could do me a solid and come over for dinner?
I'm like one meal short of the minimum order value.
Meal's on me if you can manage to get to Steglitz in the next hour.",benaryorg,en,Steglitz-Zehlendorf,steglitz,5
13,2021-10-08 21:11:02+00:00,1446583940316336134,"@Biffo183 Lovely! 😊🍺🖌It’s the Bierpinsel (Beer Brush) in Berlin Steglitz and is now a protected building I’m happy to hear. It only makes sense in Berlin, I guess.😏 https://t.co/5AlZTm2pjZ",Happy_elves,en,Steglitz-Zehlendorf,steglitz,9
14,2021-09-29 12:01:15+00:00,1443184093630509057,"Many neighbourhoods in Berlin – including Reinickendorf, Steglitz and Neukölln (pictured below) – used to place their street signs on the side of buildings. Today only a few remain.
#TypeInBerlin #StreetWeek https://t.co/E0xQkDTow0",Berlin_Type,en,Steglitz-Zehlendorf,steglitz,44
15,2021-09-26 18:08:37+00:00,1442189379460481028,"One of the most beautiful cinemas in Berlin, the Adria in Steglitz is really worth a visit. And what a masterful film #dieschachnovelle was! Such powerful performances and haunting cinematography 💖 #berlin https://t.co/r1az9BK6bW",bourboucha,en,Steglitz-Zehlendorf,steglitz,3
16,2021-09-17 12:55:38+00:00,1438849125550788612,"Cao Fei's work La Town (2014) and Cyprien Gaillard's film The Lake Arches (2007) are part of DISAPPEARING BERLIN, taking place at Bierpinsel in Steglitz on September 18–19 from 2–10pm.

DISAPPEARING BERLIN is a performance and music program produced by Schinkel Pavillon. https://t.co/fb845IvD11",SpruethMagers,en,Steglitz-Zehlendorf,steglitz,4
17,2021-09-17 02:04:30+00:00,1438685262364745732,"he really lived in Berlin Steglitz or so in an affluent area with subburbian middle class homes, a large library in the house and these cute little high end loudspeakers which were albeit still to large for his wife..",andreas_genet_2,en,Steglitz-Zehlendorf,steglitz,0
18,2021-09-15 19:57:16+00:00,1438230456928022532,@cfmbetricky2 everyone seems to be commenting on the set it’s self. This was a German/British film filmed in Steglitz Berlin kind of an Area in Southwest Berlin it most likely was filmed at Babelsbeg studios 1 of the most prestigious and oldest film studios in the world👍,AppsTrever,en,Steglitz-Zehlendorf,steglitz,1
