,Datetime,Tweet Id,Text,Username,Language,District,Sub District,Up Votes
0,2021-07-21 11:12:21+00:00,1417804638233968645,"I need help finding dog sitters in Berlin! My adorable little man can either stay with folks or they can stay at my apartment in Alt-Treptow.
August 12-22
Sept 2-7
Sept 23-Oct 5
He is 15 years old and super low maintenance, but no dog newbs as he is blind and mostly deaf. https://t.co/ZdqWCKGjCk",jenrazzle,en,Treptow-KÃ¶penick,alt-treptow,7
1,2021-08-08 18:03:58+00:00,1424431203227164679,So happy I joined @Vnlasteamer on a Berlin hike this morning - managed 4 hours and over 18km round Plänterwald/Baumschulenweg/NK🤩🥳can’t wait to do it again,RachLoxton,en,Treptow-KÃ¶penick,baumschulenweg,10
2,2021-07-27 06:34:58+00:00,1419909158653120512,"@EvergreenEisern Apparently you think we walk around flashing our credit cards Charlottenburg... Well actually Wedding, or no, Spandau, Hellersdorf, Neukölln. Berlin. Apparently everyone west of Baumschulenweg is rich and doesn't suffer 🤨",hahoAnna,en,Treptow-KÃ¶penick,baumschulenweg,0
3,2021-07-21 14:15:01+00:00,1417850605876490242,"At 16:15 Wednesday, 21 July 2021 (GMT +02:00) 
in Berlin-Baumschulenweg, Germany it was 21.9°C and overcast. 
Wind direction: WNW. Wind speed: 13.7kph. 
Pressure: 1022mb. Humidity: 51%",random__weather,en,Treptow-KÃ¶penick,baumschulenweg,0
4,2021-05-15 12:33:07+00:00,1393544974139109381,"@BrexitBin @WhatsEuroPinion Same here, infact my son lives in Baumschulenweg district and remnants of the wall with graffiti art runs along side the S Bahn then along a canal.
A fantastic war memorial in the Russian sector at Treptower Park as well.
Love visiting Berlin, especially in the summer.",Paul25318818,en,Treptow-KÃ¶penick,baumschulenweg,2
5,2021-01-10 16:41:21+00:00,1348308961649451010,"Once again discovering unexpected #DDR remnants on a Sunday bike ride🚲: Memorial to revolutionary fighters for anti-fascism and socialism; grave of Chris Gueffroy, final victim of the Berlin Wall; and entrance to the DDR’s former largest children’s home - Baumschulenweg, #Berlin https://t.co/QRp4WTDXuh",malcyjorgy,en,Treptow-KÃ¶penick,baumschulenweg,5
6,2021-10-17 12:53:26+00:00,1449720208810184708,"#OTD in 1913: Johannisthal air disaster (Germany). German Navy Airship LZ18 explodes in Johannisthal airfield (Berlin) all 28 crew die. During a test, Hydrogen being vented was sucked into the forward engine and ignited, causing the airship to explode and burn. https://t.co/gXX65BJjq5",OnDisasters,en,Treptow-KÃ¶penick,johannisthal,13
7,2021-10-04 15:34:07+00:00,1445049602458202123,@DHeuwer Sushi and Friends Berlin/Johannisthal,Bwac101,en,Treptow-KÃ¶penick,johannisthal,1
8,2021-05-30 16:14:27+00:00,1399036495105822720,"Julius Klinger was a talented illustrator and graphic designer from Austria (1876-1942), sadly a victim of the Holocaust. I love his poster for Around Berlin, a 1912 air show at Berlin’s first airfield in Johannisthal, a borough of Treptow-Köpenick. https://t.co/YZp9zfAXaF",MClaudeHawkes,en,Treptow-KÃ¶penick,johannisthal,2
9,2021-03-21 14:26:19+00:00,1373642128526610440,"Over 25% of all 48,000 German #WW1 aeroplanes were produced in #Berlin: at Flugplatz #Johannisthal - Germany's 1st airfield &amp; 2nd GER airfield for powered aircraft after Darmstad.

After the lost war and decision to clip Germany's wings, the airfield became an aicraft cemetery. https://t.co/5qGBJrraaA",kreuzberged,en,Treptow-KÃ¶penick,johannisthal,47
